No.;Wortsatz;Übersetzung
1.;Name;Nama
;Adresse;alamat
;Telefon;telepon
;Geburtsdatum;tanggal lahir
;Geburtsort;Tempat Lahir
;Alter;Usia
;Wohnung;Apartemen
;Räume;Kamar
;Einrichtung;Perabot/fasilitas
;Pflanzen;Tanaman
;Tiere;Binatang/Hewan
;Klima/Wetter;Iklim/cuaca
;Nahrungsmittel;makanan
;Mahlzeiten;Waktu makan
;Speisen;Makanan
;Getränke;Minuman
;Post;Post
;Telekommunikation;Telekomunikasi
;Banken;Bank
;Polizei;Polisi
;Arbeitsplatz;Tempat kerja
;Urlaub;Liburan
;Geschlecht;Jenis kelamin
;Familienstand;Status pernikahan
;Familie;Keluarga
;Persönliche Berziehungen;Hubungan pribadi
;Staatsangehörigkeit;kebangsaan
;Nationalität;kebangsaan
;Herkunft;Asal
;Aussehen;Melihat
;Tagesablauf;Rutinitas sehari-hari
;Haushalt;Rumah tangga
;Reisen;Bepergian
;Unterkunft;Akomodasi
;Gepäck;Bagasi
;Geshäfte;Toko
;Preis;Harga
;Bezahlen;Membayar
;Lebensmittel;Bahan makanan
;Kleidung;Pakaian
;Schule;Sekolah
;Sprachen lernen;Belajar bahasa
;Interessen;Minat
;Sport treiben;Berolahraga/melakukan olahraga
;Radio;Radio
;Fernsehen;Televisi
;Internet;Internet
;Lektüre;Pembacaan/membaca
;Uhr;Pukul/Jam
;die Sekunde;Detik
;die Minute;Menit
;die Stunde;Jam
;der Tag;Hari
;die Woche;Minggu
;die Jahr;Tahun
;der Wochentag;hari dalam seminggu
;der Sonntag;Minggu
;der Montag;Senin
;der Dienstag;Selasa
;der Mittwoch;Rabu
;der Donnerstag;Kamis
;der Freitag;Jumat
;der Samstag;Sabtu
;das Wochenende;Akhir pekan
;der Tag;Hari
;der Morgen;Pagi
;der Vormittag, ße;pagi hari
;der Mittag;tengah hari
;der Nachmittag;sore hari
;der Abend;malam
;die Nacht;malam
;der Januar;bulan Januari
;der Februar;bulan Februari
;der März;bulan Maret
;der April;bulan April
;der Mai;bulan Mei
;der Juni;bulan Juni
;der Juli;bulan Juli
;der August;bulan Agustus
;der September;bulan September
;der Oktober;Oktober
;der November;bulan November
;der Dezember;bulan Desember
;der Frühling;musim semi
;der Sommer;musim panas
;der Herbst;musim gugur
;der Winter;musim dingin
;Euro;Euro
;Meter;meter
;Zentimeter;sentimeter
;Meter fünfzehn;lima belas meter
;Kilometer;kilometer
;Quadratmeter;meter persegi
;ein Grad;gelar
;Prozent;persen
;Liter;liter
;Gramm;gram
;Pfund;Pound
;Kilo(gramm);Kilogram)
;Deutschland;Jerman
;die Deutsche;Jerman
;Deutscher;Orang Jerman
;Europa;Eropa
;Europäer;orang Eropa
;schwarz;Hitam
;weiß;Putih
;grau;Abu-abu
;rot;Merah
;blau;Biru
;gelb;Kuning
;grün;Hijau
;braun;Cokelat
;der Norden;Utara
;der Süden;Selatan
;der Westen;Barat
;der Osten;Timur
;aber;Tetapi
;abfahren;berangkat
;die Abfahrt;perpisahan
;abgeben;serahkan
;abholen;menjemput
;der Absender;pengirim
;Achtung;Bahaya
;die Adressen;alamatnyan
;allein;sendiri
;also;jadi
;alt;tua
;das Alter;usia
;anbieten;menawarkan
;das Angebot;tawaran itu
;anfangen;mulai
;der Anfang;awal mula
;anklicken;klik
;ankommen;tiba
;die Ankuft;kedatangan
;ankreuzen;Tandai dengan tanda silang
;anmachen;menyalakan/menghidupkan
;anmelden;daftar
;die Anmeldung;pendaftaran
;die Andere;yang lain
;anrufen;panggilan
;antworten;menjawab
;die Ansage;pengumuman
;der Anschluss;koneksi
;die Anzeige;iklan
;(sich) anziehen;(berpakaian
;das Apartment;Apartemen
;der Apfel;Apel
;der Appetit;nafsu makan
;arbeiten;bekerja
;arbeitlos;Pengangguran
;der Arbeitplatz, -ä;Tempat kerja, -ä
;der Arm;orang miskin
;der Arzt;dokter
;auch;juga
;auf;pada
;die Aufgabe;tugas
;aufhören;berhenti
;aufstehen;berdiri
;der Aufzug;lift
;das Auge;mata
;der Ausflug;tamasya
;ausfüllen;mengisi
;der Ausgang;keluar
;der ausländer;orang asing
;ausmachen;mematikan, memadamkan
;die Aussage;pernyataan
;aussehen;Lihat
;aus sein;pergi
;aussteigen;Keluar
;der Ausweis;Kartu identitas
;das Auto, -s;Mobil, mobil-mobil
;die Autobahnn;jalan raya autobahn, jalan tol
;der Automat;mesin slot
;automatisch;secara otomatis
;B;B
;das Baby;bayi
;die Bäckerei;toko roti
;das Bad;kamar mandi
;baden;mandi
;die Bahn;kereta
;der Bahnhof;Stasiun
;der Bahnsteig;Jembatan
;der Balkon;balkon
;die Banane;pisang
;die Bank;Bank
;der Bauch;perut
;der Baum, -ä;pohon, -ä
;der Beamte;Pegawai, pejabat
;bedeuten;berarti
;beginnen;mulai
;beide;keduanya
;das Beispiel;Contoh
;zum Beispiel;Contohnya, misalnya
;bekannt;diketahui
;bekommen;menerima
;benutzen;menggunakan
;der Beruf;profesi
;besetzt;sibuk
;besichtigen;mengunjungi
;besser;lebih baik
;bestellen;memesan
;besuchen;mengunjungi
;das Bett;tempat tidur
;bezahlen;membayar
;das Bier;birnya
;das Bildr;gambarnyah
;billig;murah
;die Birne;buah pir
;bis;sampai
;bisschen;sedikit
;bitte;Tolong
;bitten;bertanya
;bitter;pahit
;bleiben;tetap
;der Bleistift;Pensil
;der Blick;pandangan
;die Blume;bunga
;der Bogen;busur
;böse;kejahatan
;brauchen;membutuhkan
;breit;luas
;der Brief;surat
;die Briefmarke;perangko
;bringen;membawa
;das Brot;roti
;das Brötchen;Roti panggang
;der Bruder;Saudara laki-laki
;das Buchr;buku
;der Buchstabe;surat
;buchstabieren;mengeja
;der Bus, -se;bus, -se
;die Butter;mentega
;C und D;C dan D
;das Cafe, -s;kafe, -s
;die CD, -s;CD-CD tersebut
;der Chef;bos
;circa/ca.;kira-kira.
;der Computer;komputer
;die Dame;para wanita
;daneben;Di samping itu
;danken;untuk berterima kasih
;der Dank;terima kasih
;danke;Terima kasih
;dann;Kemudian
;das Datum;tanggal
;dauern;terakhir
;denn;Karena
;der, die, das;itu, itu, itu
;dich;Anda
;dir;Anda
;die Disco;disko
;der Doktor;dokter
;das Doppelzimmer;kamar tidur ganda
;das Dorf;Desa
;draußen;di luar
;drucken;tekan
;der Druker;pencetak
;drücken;tekan
;durch;melalui
;die Durchsage;Pengumuman
;dürfen;mungkin
;der Durst;rasa haus
;(sich) duschen;(mandi
;die Dusche;kamar mandi
;E;E
;die Ecke;sudut-sudutnya
;die Ehefraun;Para istri
;der Ehemann;suami
;das Ei;telur
;eilig;buru-buru
;ein;A
;einfach;secara sederhana
;der Eigang;pintu masuk
;einkaufen;belanja
;einladen;mengundang
;die Einladung;undangan
;einmal;sekali
;einsteigen;masuk
;der Entritt;jalan masuk
;das Einzelzimmer;kamar single
;die Eltern (pl.);orang tua (jamak)
;die E-Mail, -s;email-email tersebut
;der Empfänger;penerima
;empfehlen;menyarankan
;enden;berakhir
;das Ende;tamat
;entschuldigen;mengizinkan
;die Entschuldigung;permintaan maaf
;er;Dia
;sie;dia
;es;dia
;das Ergebnis, -se;hasilnya, -se
;erklären;menjelaskan
;erlauben;mengizinkan
;der Erwachsene;orang dewasa
;erzählen;memberi tahu
;essen;makan
;das Essen;makanan
;euer;milikmu
;F;F
;fahren;menyetir
;der Fahrer;supir
;die Fahrkarte;tiket
;das Fahrradr;sepedanyah
;falsch;salah
;die Familie;keluarga
;der Familienname;nama keluarga
;der Familienstand;status pernikahan
;die Farbe;warnanya
;das Fax;faks
;Feier-;Perayaan-
;feiern;merayakan
;fehlen;merindukan
;der Fehler;kesalahan
;fernsehen;televisi
;fertig;menyelesaikan
;das Feuer;api
;das Fieber;demam
;der Film;filmnya
;finden;menemukan
;die Firma;perusahaan
;der Fisch;Ikan
;die Flasche;botol-botolnya
;das Fleisch;daging
;fliegen;terbang
;abfliegen;berangkat
;der Abflug;lepas landas
;der Flughafen;Bandara
;das Flugzeug;Pesawat
;das Formular;bentuk
;das Foto, -s;foto
;fragen;pertanyaan
;die Frage;pertanyaan-pertanyaan
;die Fraun;Wanita
;frei;bebas
;die Freizeit;waktu luang
;fremd;luar negeri
;(sich) freuen;(bersuka cita
;der Freund;teman-teman
;früher;lebih awal
;frühstücken;sarapan
;das Frühstück;sarapan
;die Führung;kepemimpinan
;für;untuk
;der Fuß;kaki
;der fußball;Sepakbola
;G;G
;der Garten;Kebun
;der Gast;dari para tamu
;geben;memberi
;geboren;dilahirkan
;das Geburtsjahr;tahun kelahiran
;der Geburtsort;tempat lahir
;der Geburtstag;hari ulang tahun
;gefallen;jatuh
;gegen;melawan
;gehen;pergi
;gehören;milik
;das Geld;uang
;das Gemüse;sayuran
;das Gepäck;bagasi
;gerade;lurus
;geradeaus;lurus kedepan
;gern(e);dengan senang hati)
;das Geschäft;bisnis
;das Geschenk;hadiah
;die Geschwister (pl). ;saudara kandung (pl).
;das Gespräch;percakapan
;gestern;Kemarin
;gestorben;mati
;das Getränk;minumannya
;das Gewicht;beratnya
;gewinnen;menang
;das Glas;Kaca
;glauben;meyakini
;gleich;bahkan
;das Gleis;trek
;das Glück;kebahagiaan
;glücklich;senang
;der Glückwunsch;ucapan selamat
;Grad (celsius);Derajat Celsius)
;gratulieren;mengucapkan selamat
;grillen;memanggang
;groß;besar
;die Größe;ukuran
;die Großeltern (pl).;kakek-nenek (pl).
;die Großmutter;nenek
;der Großvater;kakek
;die Gruppe;kelompok
;der Gruß;salam
;gültig;sah
;günstig;murah
;gut;Bagus
;H;H
;das Haar;rambut
;haben;memiliki
;ds Hähnchen;ds ayam
;die Halbpension;setengah papan
;die Halle;Balai
;hallo;Halo
;halten;memegang
;die Haltestelle;halte bus
;die Hand;tangan
;das Handy, -s;telepon genggam, -s
;das Hausr;rumahh
;die Hausaufgabe;PR
;die Hausfraun;ibu rumah tanggan
;der Hausmann;pembantu rumah tangga
;die Heimat;tanah air
;heiraten;nikah
;heißen;disebut
;helfen;membantu
;hell;terang
;der Herd;kompor
;der Herrn;pria itun
;herzlich;tulus
;heute;Hari ini
;hier;Di Sini
;die Hilfe;bantuan
;hinten;belakang
;das Hobby, -s;hobi, -s
;hoch;tinggi
;die Hochzeit;pernikahan
;holen;mengambil
;hören;mendengar
;das Hotel, -s;hotelnya, -s
;der Hund;anjing
;der Hunger;kelaparan
;I;SAYA
;ich ;SAYA
;ihr/ihm/ihn;dia/dia/dia
;immer;selalu
;in;di dalam
;die Informationn;informasi
;international;internasional
;das Internet;Internet
;J;J
;Ja;Ya
;die Jacke;jaket
;jetzt;Sekarang
;der Job, -s;pekerjaan
;der Jugendliche;pemuda
;jung;muda
;der Junge;anak laki-laki itu
;K;K
;der Kaffee;kopi
;kaputt;rusak
;die Karte;kartu-kartunya
;die Kartoffel;kentang
;die Kasse;mesin kasir
;kaufen;membeli
;kein;TIDAK
;kennen;tahu
;kennenlernen;mencari tahu
;das Kindr;anak itu, -he
;der Kindergarten;taman kanak-kanak
;das Kino, -s;bioskop, -s
;der Kiosk;kios
;klar;jernih
;die Klasse;kelas
;die Kleidung;pakaian
;klein;kecil
;kochen;memasak
;der Koffer;koper
;der Kollege;rekannya
;kommen;datang
;können;Bisa
;das Konto;Akun
;der Kopf;kepala
;kosten;biaya
;krank;sakit
;kriegen;mendapatkan
;die Küche;dapur
;der Kuchen;kue
;der Kugelschreiber;pulpen
;der Kühlschrank;kulkas
;kulturell;kultural
;dich kümmern;peduli denganmu
;der Kunde;pelanggan
;der Kurs;kursus
;kurz;pendek
;L;L
;lachen;tertawa
;der Laden, -ä;toko, -ä
;das Landr;negarah
;lang;panjang
;lange;panjang
;langsam;lambat
;laufen;berlari
;laut;keras
;leben;kehidupan
;die Lebensmittel (pl.);makanan (jamak)
;ledig;lajang
;legen;tempat
;der Lehrer;guru
;leicht;lampu
;leider;Sayangnya
;leise;diam
;lernen;mempelajari
;letzt-;terakhir-
;die Leute (pl.);orang-orang (jamak)
;das Licht;cahaya
;lieb-;Sayang-
;lieben;Cinta
;lieber;Sayang
;Lieblings-;Favorit-
;das Liedr;lagunyar
;liegen;berbaring
;links;Kiri
;der Lkw, -s;truk, -s
;das Lokal;lingkungan setempat
;die Lösungn;solusinya
;lustig;lucu
;M;M
;machen;membuat
;das Mädchen;gadis itu
;der Mannr;pria itu, -dia
;männlich;maskulin
;die Maschine;Mesin-mesin
;das Meer;laut
;mehr;lagi
;mein;#NAME?
;meist;sebagian besar waktu
;der Menschn;manusia
;mieten;menyewa
;die Miete;sewa
;die Milch;susu
;mit;dengan
;mitbringen;bawa
;mitkommen;ikutlah
;mitmachen;ikut
;mitnehmen;membawa serta
;die Mitte;Tengah
;die Möbel (pl.);perabotan
;möchten;ingin
;mögen;menyukai
;möglich;mungkin
;der Moment;saat ini
;morgen;Pagi
;müde;lelah
;der Mund;mulut
;müssen;harus
;die Mutter;ibu
;N;N
;nach;setelah
;nächst;Berikutnya
;der Name;nama
;nehmen;mengambil
;nein;TIDAK
;neu;baru
;nicht;bukan
;nichts;Tidak ada apa-apa
;nie;tidak pernah
;noch;tetap
;normal;normal
;die Nummer;angka-angka
;nur;hanya
;O;HAI
;oben;di atas
;das Obst;buah
;oder;atau
;öffnen;membuka
;geöffnet;membuka
;oft;sering
;ohne;tanpa
;das Öl;minyak
;die Oma, -s;Para nenek
;der Opa, -s;kakek, -s
;die Ordnung;pesanan
;der Ort;tempatnya
;P;P
;das Papier;kertas
;die Papiere (pl.);kertas - kertas
;der Partner;mitra
;die Partnerinen;pasangannyaen
;die Party;pesta
;der Pass;paspor
;die Pause;istirahat
;der Plan;pesawat
;der Platz;tempatnya
;die Polizei;polisi
;die Pommes frites (pl.);kentang goreng (jamak)
;die Post;postingan tersebut
;die Postleitzahl;kode area
;das Praktikum;magang
;die Praxis;Latihan
;der Preis;harga
;das Problem;masalahnya
;der Prospekt;prospektus
;die Prüfung;ujian
;pünktlich;tepat waktu
;R;R
;Rad fahren;mengendarai sepeda
;rauchen;merokok
;der Raum, -ä;spasi, -ä
;die Rechnungn;tagihannyan
;rechts;Kanan
;regnen;hujan
;der Regen;hujan
;der Reis;nasi
;reisen;bepergian
;die Reise;perjalanan
;das Reisebüro, -s;biro perjalanan, -s
;der Reiseführer;Petunjuk
;reparieren;memperbaiki
;die Reparatur;perbaikannya
;das Restaurant, -s;restoran-restoran
;die Rezeption;resepsi
;richtig;benar
;riechen;bau
;ruhig;diam
;S;S
;der Saft;jus
;sagen;mengatakan
;der Salat;salad
;das Salz;garam
;Satz, -ä;Kalimat, -ä
;die S-Bahn;S-Bahn
;der Schalter;meja
;scheinen;terlihat
;schicken;mengirim
;das Schildr;tanda-tanda
;der Shinken;Shinken
;schlafen;tidur
;schlecht;buruk
;schließen;menutup
;geschlossen;tertutup
;der Schluss;tamat
;der Schlüssel;kunci
;schmecken;rasanya enak
;schnell;cepat
;schon;sudah
;schön;Bagus
;der Schrank, -ä;lemari, -ä
;schreiben;menulis
;der Schuh;sepatu
;die Schule;sekolah
;der Schüler;siswa
;schwer;sulit
;die Schwester;saudara perempuan
;schwimmen;berenang
;das Schwimmbad;kolam
;der See;Danau
;sehen;melihat
;die Sehenswürdigkeitn;pemandangan itun
;sehr;sangat
;sein ;menjadi
;an sein;aktif
;auf sein;untuk bangun
;weg sein;pergi menjauh
;zu sein;menjadi
;seit;sejak
;selbstständig;Wiraswasta
;sich;diri
;sie;dia
;Sie;Dia
;sitzen;duduk
;so;Jadi
;das Sofa;sofa
;sofort;langsung
;der Sohn, -ö;anak laki-laki, -ö
;sollen;sebaiknya
;die Sonne;matahari
;spät;terlambat
;später;Nanti
;die Speisekarte;menu
;spielen;bermain
;der Sport;olahraga
;die Sprache;bahasa
;sprechen;berbicara
;die Stadt, -ä;kota, -ä
;stehen;berdiri
;die Stelle;tempatnya
;stellen;tempat
;der Stock;tongkat
;die Straße;jalanan
;die Straßenbahn;Trem
;studieren;belajar
;das Studium;pembelajaran
;der Studentn;dari para siswa
;die Stunde;jam
;suchen;mencari
;T;T
;tanzen;menari
;die Tasche;tas
;das Taxi, -s;taksi, -s
;der Tee;Teh
;der Teil;Dari bagian-bagiannya
;telefonieren;membuat panggilan telepon
;das Telefon;teleponnya
;der Termin;penunjukan
;der Test;ujian
;teuer;mahal
;der Text;teks
;das Thema;topik
;das Ticket, -s;tiket
;der Tisch;meja
;die Tochter;anak perempuan
;die Toiletten;toilet, -id
;die Tomate;tomat
;tot;mati
;(sich) treffen;(bertemu
;die Treppe;tangga
;trinken;minum
;tschüss;selamat tinggal
;tun;Mengerjakan
;U;kamu
;über;di atas
;übernachten;menginap
;überweisen;transfer
;die Uhr;jam
;um;sekitar
;umziehen;bergerak
;und;Dan
;unser;kita
;unten;di bawah
;unter;di bawah
;der Unterricht;pelajaran
;unterschreiben;tanda
;die Unterschrift;tanda tangan
;der urlaub;liburan
;V;V
;der Vater, -ä;ayah, -ä
;verboten;terlarang
;verdienen;menghasilkan
;der Verein;Persatuan
;verheiratet;telah menikah
;verkaufen;menjual
;der Verein;Persatuan
;verheiratet;telah menikah
;verkaufen;menjual
;der Verkäufer;penjual
;vermieten;menyewa
;der Vermieter;tuan tanah
;verstehen;memahami
;der Verwandte;Dari kerabat
;viel;banyak
;vielleicht;mungkin
;von;dari
;vor;sebelum
;der Vorname;nama depan
;Vorsicht;Peringatan
;(sich) vorstellen;(membayangkan
;die Vorwahl;Kode
;W;W
;wandern;kenaikan
;wann;Kapan
;warten;Tunggu
;warum;Mengapa
;was;Apa
;was für ein;apa sebuah
;(sich) waschen;(untuk mencuci diri sendiri
;das Wasser;air
;weh tun;terluka
;weiblich;perempuan
;der Wein;anggur
;weit;jauh
;weiter;lebih jauh
;welch-;yang-
;die Welt;Dunia
;wenig;sedikit
;wer;WHO
;werden;menjadi
;das Wetter;cuaca
;wichtig;penting
;wie;Bagaimana
;wiederholen;mengulang
;das Wiederhören;sidang ulang
;das Wiedersehen;Reuni
;wie viel;berapa harganya
;willkommen;selamat datang
;der Wind;angin
;wir;Kami
;wissen;pengetahuan
;wo;Di mana
;woher;dari mana
;wohin;Di mana
;woher;dari mana
;wohin;Di mana
;wohnen;tinggal
;die Wohnungn;flat
;wollen;ingin
;das Wort, -ör/-e;kata, -ö, dia/-e
;wunderbar;luar biasa
;Z;Z
;zahlen;membayar
;die Zeit;waktu
;zurzeit;saat ini
;die Zeitungn;Koran
;die Zigarette;rokok
;das Zimmer;ruangan
;der Zoll;adat istiadat
;zu;ke
;zufrieden;puas
;der Zug, -ü;kereta api, -ü
;zurück;kembali
;zusammen;bersama
;zwischen;di antara
